stem,image_path,label_path,num_boxes,avg_confidence,IoU,Precision,Recall,F1,TP,FP,FN,num_pred_boxes,num_gt_boxes
rgb_15105,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15105.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15105.txt,1,0.4900358319282532,0.9684056775942783,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15202,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15202.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15202.txt,1,0.607622504234314,0.9503376762604588,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15268,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15268.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15268.txt,1,0.6934450268745422,0.9599116044703331,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15340,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15340.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15340.txt,1,0.5860658884048462,0.9721665613219111,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15399,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15399.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15399.txt,1,0.6692967414855957,0.9670862060642003,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15564,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15564.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15564.txt,1,0.5525444149971008,0.9541088785116468,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15565,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15565.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15565.txt,1,0.5591131448745728,0.9927203688593884,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15566,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15566.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15566.txt,1,0.6011225581169128,0.9404534271592191,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15567,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15567.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15567.txt,1,0.6129733920097351,0.9562834040613141,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15568,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15568.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15568.txt,1,0.6511462330818176,0.9693551006300869,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15569,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15569.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15569.txt,1,0.6365253925323486,0.9486559380274941,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15572,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15572.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15572.txt,1,0.6106436252593994,0.9682859779578333,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15574,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15574.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15574.txt,1,0.6315146684646606,0.9621922993786841,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15575,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15575.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15575.txt,1,0.5929685831069946,0.9579066749392213,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15576,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15576.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15576.txt,1,0.5620977282524109,0.979392566606212,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15577,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15577.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15577.txt,1,0.5737940669059753,0.967907700778057,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15580,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15580.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15580.txt,1,0.564795196056366,0.9721514963229279,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15581,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15581.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15581.txt,1,0.5292931795120239,0.9711337799274681,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15582,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15582.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15582.txt,1,0.5749067664146423,0.9693913032515069,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15584,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15584.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15584.txt,1,0.668455958366394,0.983103960580662,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15585,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15585.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15585.txt,1,0.6473900079727173,0.9326134226448827,1.0,1.0,1.0,1.0,0.0,0.0,1,1
